__run_id,__done,run_number,llm,problem_difficulty,problem,prompt_i,power_consumption,cpu_usage
run_124,,r1,GPT-4o,medium,M-CS,1,,
run_956,,r2,Claude,medium,M-GS,2,,
run_197,,r2,GPT-4o,medium,M-GS,2,,
run_176,,r2,GPT-4o,medium,M-CS,2,,
run_492,,r0,GeminiUltra,medium,M-CS,0,,
run_364,,r1,GeminiUltra,easy,E-PN,1,,
run_568,,r1,GeminiUltra,medium,M-GS,1,,
run_920,,r2,Claude,medium,M-GS,2,,
run_186,,r0,GPT-4o,medium,M-GS,0,,
run_531,,r0,GeminiUltra,medium,M-CS,0,,
run_371,,r2,GeminiUltra,easy,E-PN,2,,
run_413,,r2,GeminiUltra,easy,E-PN,2,,
run_886,,r1,Claude,medium,M-CS,1,,
run_606,,r0,GeminiUltra,hard,H-SF,0,,
run_1049,,r2,Claude,hard,H-MN,2,,
run_894,,r0,Claude,medium,M-CS,0,,
run_481,,r1,GeminiUltra,medium,M-CS,1,,
run_512,,r2,GeminiUltra,medium,M-CS,2,,
run_765,,r0,Claude,easy,E-PN,0,,
run_69,,r0,GPT-4o,easy,E-UE,0,,
run_190,,r1,GPT-4o,medium,M-GS,1,,
run_326,,r2,GPT-4o,hard,H-MN,2,,
run_623,,r2,GeminiUltra,hard,H-SF,2,,
run_972,,r0,Claude,hard,H-SF,0,,
run_652,,r1,GeminiUltra,hard,H-SF,1,,
run_729,,r0,Claude,easy,E-PN,0,,
run_327,,r0,GPT-4o,hard,H-MN,0,,
run_470,,r2,GeminiUltra,easy,E-UE,2,,
run_469,,r1,GeminiUltra,easy,E-UE,1,,
run_243,,r0,GPT-4o,hard,H-SF,0,,
run_144,,r0,GPT-4o,medium,M-CS,0,,
run_246,,r0,GPT-4o,hard,H-SF,0,,
run_432,,r0,GeminiUltra,easy,E-UE,0,,
run_417,,r0,GeminiUltra,easy,E-PN,0,,
run_883,,r1,Claude,medium,M-CS,1,,
run_704,,r2,GeminiUltra,hard,H-MN,2,,
run_300,,r0,GPT-4o,hard,H-MN,0,,
run_701,,r2,GeminiUltra,hard,H-MN,2,,
run_460,,r1,GeminiUltra,easy,E-UE,1,,
run_360,,r0,GeminiUltra,easy,E-PN,0,,
run_437,,r2,GeminiUltra,easy,E-UE,2,,
run_329,,r2,GPT-4o,hard,H-MN,2,,
run_958,,r1,Claude,medium,M-GS,1,,
run_113,,r2,GPT-4o,easy,E-UE,2,,
run_110,,r2,GPT-4o,easy,E-UE,2,,
run_84,,r0,GPT-4o,easy,E-UE,0,,
run_496,,r1,GeminiUltra,medium,M-CS,1,,
run_600,,r0,GeminiUltra,hard,H-SF,0,,
run_86,,r2,GPT-4o,easy,E-UE,2,,
run_588,,r0,GeminiUltra,medium,M-GS,0,,
run_242,,r2,GPT-4o,hard,H-SF,2,,
run_906,,r0,Claude,medium,M-GS,0,,
run_353,,r2,GPT-4o,hard,H-MN,2,,
run_895,,r1,Claude,medium,M-CS,1,,
run_723,,r0,Claude,easy,E-PN,0,,
run_97,,r1,GPT-4o,easy,E-UE,1,,
run_114,,r0,GPT-4o,easy,E-UE,0,,
run_433,,r1,GeminiUltra,easy,E-UE,1,,
run_290,,r2,GPT-4o,hard,H-SF,2,,
run_546,,r0,GeminiUltra,medium,M-GS,0,,
run_251,,r2,GPT-4o,hard,H-SF,2,,
run_63,,r0,GPT-4o,easy,E-UE,0,,
run_394,,r1,GeminiUltra,easy,E-PN,1,,
run_155,,r2,GPT-4o,medium,M-CS,2,,
run_368,,r2,GeminiUltra,easy,E-PN,2,,
run_815,,r2,Claude,easy,E-UE,2,,
run_1035,,r0,Claude,hard,H-MN,0,,
run_208,,r1,GPT-4o,medium,M-GS,1,,
run_627,,r0,GeminiUltra,hard,H-SF,0,,
run_49,,r1,GPT-4o,easy,E-PN,1,,
run_549,,r0,GeminiUltra,medium,M-GS,0,,
run_414,,r0,GeminiUltra,easy,E-PN,0,,
run_461,,r2,GeminiUltra,easy,E-UE,2,,
run_620,,r2,GeminiUltra,hard,H-SF,2,,
run_199,,r1,GPT-4o,medium,M-GS,1,,
run_948,,r0,Claude,medium,M-GS,0,,
run_204,,r0,GPT-4o,medium,M-GS,0,,
run_727,,r1,Claude,easy,E-PN,1,,
run_733,,r1,Claude,easy,E-PN,1,,
run_773,,r2,Claude,easy,E-PN,2,,
run_466,,r1,GeminiUltra,easy,E-UE,1,,
run_446,,r2,GeminiUltra,easy,E-UE,2,,
run_108,,r0,GPT-4o,easy,E-UE,0,,
run_800,,r2,Claude,easy,E-UE,2,,
run_352,,r1,GPT-4o,hard,H-MN,1,,
run_404,,r2,GeminiUltra,easy,E-PN,2,,
run_78,,r0,GPT-4o,easy,E-UE,0,,
run_856,,r1,Claude,medium,M-CS,1,,
run_720,,r0,Claude,easy,E-PN,0,,
run_952,,r1,Claude,medium,M-GS,1,,
run_577,,r1,GeminiUltra,medium,M-GS,1,,
run_407,,r2,GeminiUltra,easy,E-PN,2,,
run_146,,r2,GPT-4o,medium,M-CS,2,,
run_34,,r1,GPT-4o,easy,E-PN,1,,
run_1005,,r0,Claude,hard,H-SF,0,,
run_445,,r1,GeminiUltra,easy,E-UE,1,,
run_784,,r1,Claude,easy,E-UE,1,,
run_206,,r2,GPT-4o,medium,M-GS,2,,
run_272,,r2,GPT-4o,hard,H-SF,2,,
run_933,,r0,Claude,medium,M-GS,0,,
run_277,,r1,GPT-4o,hard,H-SF,1,,
run_1,,r1,GPT-4o,easy,E-PN,1,,
run_283,,r1,GPT-4o,hard,H-SF,1,,
run_280,,r1,GPT-4o,hard,H-SF,1,,
run_443,,r2,GeminiUltra,easy,E-UE,2,,
run_311,,r2,GPT-4o,hard,H-MN,2,,
run_641,,r2,GeminiUltra,hard,H-SF,2,,
run_963,,r0,Claude,hard,H-SF,0,,
run_249,,r0,GPT-4o,hard,H-SF,0,,
run_893,,r2,Claude,medium,M-CS,2,,
run_21,,r0,GPT-4o,easy,E-PN,0,,
run_699,,r0,GeminiUltra,hard,H-MN,0,,
run_258,,r0,GPT-4o,hard,H-SF,0,,
run_908,,r2,Claude,medium,M-GS,2,,
run_683,,r2,GeminiUltra,hard,H-MN,2,,
run_869,,r2,Claude,medium,M-CS,2,,
run_793,,r1,Claude,easy,E-UE,1,,
run_694,,r1,GeminiUltra,hard,H-MN,1,,
run_147,,r0,GPT-4o,medium,M-CS,0,,
run_386,,r2,GeminiUltra,easy,E-PN,2,,
run_338,,r2,GPT-4o,hard,H-MN,2,,
run_1026,,r0,Claude,hard,H-MN,0,,
run_37,,r1,GPT-4o,easy,E-PN,1,,
run_162,,r0,GPT-4o,medium,M-CS,0,,
run_356,,r2,GPT-4o,hard,H-MN,2,,
run_462,,r0,GeminiUltra,easy,E-UE,0,,
run_614,,r2,GeminiUltra,hard,H-SF,2,,
run_128,,r2,GPT-4o,medium,M-CS,2,,
run_524,,r2,GeminiUltra,medium,M-CS,2,,
run_256,,r1,GPT-4o,hard,H-SF,1,,
run_885,,r0,Claude,medium,M-CS,0,,
run_1054,,r1,Claude,hard,H-MN,1,,
run_159,,r0,GPT-4o,medium,M-CS,0,,
run_671,,r2,GeminiUltra,hard,H-MN,2,,
run_120,,r0,GPT-4o,medium,M-CS,0,,
run_657,,r0,GeminiUltra,hard,H-SF,0,,
run_105,,r0,GPT-4o,easy,E-UE,0,,
run_759,,r0,Claude,easy,E-PN,0,,
run_957,,r0,Claude,medium,M-GS,0,,
run_905,,r2,Claude,medium,M-GS,2,,
run_351,,r0,GPT-4o,hard,H-MN,0,,
run_93,,r0,GPT-4o,easy,E-UE,0,,
run_1030,,r1,Claude,hard,H-MN,1,,
run_630,,r0,GeminiUltra,hard,H-SF,0,,
run_981,,r0,Claude,hard,H-SF,0,,
run_950,,r2,Claude,medium,M-GS,2,,
run_595,,r1,GeminiUltra,medium,M-GS,1,,
run_87,,r0,GPT-4o,easy,E-UE,0,,
run_29,,r2,GPT-4o,easy,E-PN,2,,
run_743,,r2,Claude,easy,E-PN,2,,
run_40,,r1,GPT-4o,easy,E-PN,1,,
run_136,,r1,GPT-4o,medium,M-CS,1,,
run_140,,r2,GPT-4o,medium,M-CS,2,,
run_52,,r1,GPT-4o,easy,E-PN,1,,
run_358,,r1,GPT-4o,hard,H-MN,1,,
run_503,,r2,GeminiUltra,medium,M-CS,2,,
run_1036,,r1,Claude,hard,H-MN,1,,
run_822,,r0,Claude,easy,E-UE,0,,
run_814,,r1,Claude,easy,E-UE,1,,
run_132,,r0,GPT-4o,medium,M-CS,0,,
run_698,,r2,GeminiUltra,hard,H-MN,2,,
run_585,,r0,GeminiUltra,medium,M-GS,0,,
run_15,,r0,GPT-4o,easy,E-PN,0,,
run_427,,r1,GeminiUltra,easy,E-UE,1,,
run_746,,r2,Claude,easy,E-PN,2,,
run_779,,r2,Claude,easy,E-PN,2,,
run_615,,r0,GeminiUltra,hard,H-SF,0,,
run_789,,r0,Claude,easy,E-UE,0,,
run_478,,r1,GeminiUltra,easy,E-UE,1,,
run_689,,r2,GeminiUltra,hard,H-MN,2,,
run_325,,r1,GPT-4o,hard,H-MN,1,,
run_480,,r0,GeminiUltra,medium,M-CS,0,,
run_902,,r2,Claude,medium,M-GS,2,,
run_451,,r1,GeminiUltra,easy,E-UE,1,,
run_924,,r0,Claude,medium,M-GS,0,,
run_937,,r1,Claude,medium,M-GS,1,,
run_1000,,r1,Claude,hard,H-SF,1,,
run_983,,r2,Claude,hard,H-SF,2,,
run_391,,r1,GeminiUltra,easy,E-PN,1,,
run_803,,r2,Claude,easy,E-UE,2,,
run_447,,r0,GeminiUltra,easy,E-UE,0,,
run_252,,r0,GPT-4o,hard,H-SF,0,,
run_1023,,r0,Claude,hard,H-MN,0,,
run_20,,r2,GPT-4o,easy,E-PN,2,,
run_449,,r2,GeminiUltra,easy,E-UE,2,,
run_247,,r1,GPT-4o,hard,H-SF,1,,
run_526,,r1,GeminiUltra,medium,M-CS,1,,
run_679,,r1,GeminiUltra,hard,H-MN,1,,
run_875,,r2,Claude,medium,M-CS,2,,
run_308,,r2,GPT-4o,hard,H-MN,2,,
run_736,,r1,Claude,easy,E-PN,1,,
run_54,,r0,GPT-4o,easy,E-PN,0,,
run_874,,r1,Claude,medium,M-CS,1,,
run_377,,r2,GeminiUltra,easy,E-PN,2,,
run_392,,r2,GeminiUltra,easy,E-PN,2,,
run_612,,r0,GeminiUltra,hard,H-SF,0,,
run_818,,r2,Claude,easy,E-UE,2,,
run_1016,,r2,Claude,hard,H-SF,2,,
run_11,,r2,GPT-4o,easy,E-PN,2,,
run_556,,r1,GeminiUltra,medium,M-GS,1,,
run_471,,r0,GeminiUltra,easy,E-UE,0,,
run_539,,r2,GeminiUltra,medium,M-CS,2,,
run_714,,r0,GeminiUltra,hard,H-MN,0,,
run_921,,r0,Claude,medium,M-GS,0,,
run_678,,r0,GeminiUltra,hard,H-MN,0,,
run_978,,r0,Claude,hard,H-SF,0,,
run_717,,r0,GeminiUltra,hard,H-MN,0,,
run_181,,r1,GPT-4o,medium,M-GS,1,,
run_411,,r0,GeminiUltra,easy,E-PN,0,,
run_241,,r1,GPT-4o,hard,H-SF,1,,
run_991,,r1,Claude,hard,H-SF,1,,
run_278,,r2,GPT-4o,hard,H-SF,2,,
run_214,,r1,GPT-4o,medium,M-GS,1,,
run_187,,r1,GPT-4o,medium,M-GS,1,,
run_322,,r1,GPT-4o,hard,H-MN,1,,
run_1007,,r2,Claude,hard,H-SF,2,,
run_365,,r2,GeminiUltra,easy,E-PN,2,,
run_930,,r0,Claude,medium,M-GS,0,,
run_724,,r1,Claude,easy,E-PN,1,,
run_925,,r1,Claude,medium,M-GS,1,,
run_780,,r0,Claude,easy,E-UE,0,,
run_487,,r1,GeminiUltra,medium,M-CS,1,,
run_1008,,r0,Claude,hard,H-SF,0,,
run_217,,r1,GPT-4o,medium,M-GS,1,,
run_233,,r2,GPT-4o,medium,M-GS,2,,
run_156,,r0,GPT-4o,medium,M-CS,0,,
run_88,,r1,GPT-4o,easy,E-UE,1,,
run_676,,r1,GeminiUltra,hard,H-MN,1,,
run_235,,r1,GPT-4o,medium,M-GS,1,,
run_16,,r1,GPT-4o,easy,E-PN,1,,
run_149,,r2,GPT-4o,medium,M-CS,2,,
run_107,,r2,GPT-4o,easy,E-UE,2,,
run_275,,r2,GPT-4o,hard,H-SF,2,,
run_680,,r2,GeminiUltra,hard,H-MN,2,,
run_799,,r1,Claude,easy,E-UE,1,,
run_548,,r2,GeminiUltra,medium,M-GS,2,,
run_459,,r0,GeminiUltra,easy,E-UE,0,,
run_887,,r2,Claude,medium,M-CS,2,,
run_378,,r0,GeminiUltra,easy,E-PN,0,,
run_273,,r0,GPT-4o,hard,H-SF,0,,
run_608,,r2,GeminiUltra,hard,H-SF,2,,
run_1009,,r1,Claude,hard,H-SF,1,,
run_295,,r1,GPT-4o,hard,H-SF,1,,
run_350,,r2,GPT-4o,hard,H-MN,2,,
run_806,,r2,Claude,easy,E-UE,2,,
run_695,,r2,GeminiUltra,hard,H-MN,2,,
run_456,,r0,GeminiUltra,easy,E-UE,0,,
run_561,,r0,GeminiUltra,medium,M-GS,0,,
run_131,,r2,GPT-4o,medium,M-CS,2,,
run_637,,r1,GeminiUltra,hard,H-SF,1,,
run_682,,r1,GeminiUltra,hard,H-MN,1,,
run_341,,r2,GPT-4o,hard,H-MN,2,,
run_207,,r0,GPT-4o,medium,M-GS,0,,
run_493,,r1,GeminiUltra,medium,M-CS,1,,
run_944,,r2,Claude,medium,M-GS,2,,
run_840,,r0,Claude,medium,M-CS,0,,
run_463,,r1,GeminiUltra,easy,E-UE,1,,
run_777,,r0,Claude,easy,E-PN,0,,
run_1025,,r2,Claude,hard,H-MN,2,,
run_430,,r1,GeminiUltra,easy,E-UE,1,,
run_200,,r2,GPT-4o,medium,M-GS,2,,
run_797,,r2,Claude,easy,E-UE,2,,
run_227,,r2,GPT-4o,medium,M-GS,2,,
run_101,,r2,GPT-4o,easy,E-UE,2,,
run_713,,r2,GeminiUltra,hard,H-MN,2,,
run_139,,r1,GPT-4o,medium,M-CS,1,,
run_395,,r2,GeminiUltra,easy,E-PN,2,,
run_257,,r2,GPT-4o,hard,H-SF,2,,
run_804,,r0,Claude,easy,E-UE,0,,
run_964,,r1,Claude,hard,H-SF,1,,
run_1021,,r1,Claude,hard,H-MN,1,,
run_900,,r0,Claude,medium,M-GS,0,,
run_314,,r2,GPT-4o,hard,H-MN,2,,
run_298,,r1,GPT-4o,hard,H-SF,1,,
run_441,,r0,GeminiUltra,easy,E-UE,0,,
run_318,,r0,GPT-4o,hard,H-MN,0,,
run_510,,r0,GeminiUltra,medium,M-CS,0,,
run_123,,r0,GPT-4o,medium,M-CS,0,,
run_517,,r1,GeminiUltra,medium,M-CS,1,,
run_439,,r1,GeminiUltra,easy,E-UE,1,,
run_287,,r2,GPT-4o,hard,H-SF,2,,
run_850,,r1,Claude,medium,M-CS,1,,
run_619,,r1,GeminiUltra,hard,H-SF,1,,
run_488,,r2,GeminiUltra,medium,M-CS,2,,
run_809,,r2,Claude,easy,E-UE,2,,
run_684,,r0,GeminiUltra,hard,H-MN,0,,
run_962,,r2,Claude,hard,H-SF,2,,
run_454,,r1,GeminiUltra,easy,E-UE,1,,
run_565,,r1,GeminiUltra,medium,M-GS,1,,
run_757,,r1,Claude,easy,E-PN,1,,
run_890,,r2,Claude,medium,M-CS,2,,
run_53,,r2,GPT-4o,easy,E-PN,2,,
run_1074,,r0,Claude,hard,H-MN,0,,
run_1071,,r0,Claude,hard,H-MN,0,,
run_751,,r1,Claude,easy,E-PN,1,,
run_385,,r1,GeminiUltra,easy,E-PN,1,,
run_152,,r2,GPT-4o,medium,M-CS,2,,
run_96,,r0,GPT-4o,easy,E-UE,0,,
run_302,,r2,GPT-4o,hard,H-MN,2,,
run_284,,r2,GPT-4o,hard,H-SF,2,,
run_1077,,r0,Claude,hard,H-MN,0,,
run_781,,r1,Claude,easy,E-UE,1,,
run_455,,r2,GeminiUltra,easy,E-UE,2,,
run_507,,r0,GeminiUltra,medium,M-CS,0,,
run_137,,r2,GPT-4o,medium,M-CS,2,,
run_153,,r0,GPT-4o,medium,M-CS,0,,
run_708,,r0,GeminiUltra,hard,H-MN,0,,
run_239,,r2,GPT-4o,medium,M-GS,2,,
run_621,,r0,GeminiUltra,hard,H-SF,0,,
run_632,,r2,GeminiUltra,hard,H-SF,2,,
run_636,,r0,GeminiUltra,hard,H-SF,0,,
run_988,,r1,Claude,hard,H-SF,1,,
run_648,,r0,GeminiUltra,hard,H-SF,0,,
run_307,,r1,GPT-4o,hard,H-MN,1,,
run_410,,r2,GeminiUltra,easy,E-PN,2,,
run_229,,r1,GPT-4o,medium,M-GS,1,,
run_741,,r0,Claude,easy,E-PN,0,,
run_151,,r1,GPT-4o,medium,M-CS,1,,
run_55,,r1,GPT-4o,easy,E-PN,1,,
run_165,,r0,GPT-4o,medium,M-CS,0,,
run_909,,r0,Claude,medium,M-GS,0,,
run_951,,r0,Claude,medium,M-GS,0,,
run_904,,r1,Claude,medium,M-GS,1,,
run_816,,r0,Claude,easy,E-UE,0,,
run_99,,r0,GPT-4o,easy,E-UE,0,,
run_1076,,r2,Claude,hard,H-MN,2,,
run_835,,r1,Claude,easy,E-UE,1,,
run_178,,r1,GPT-4o,medium,M-CS,1,,
run_68,,r2,GPT-4o,easy,E-UE,2,,
run_702,,r0,GeminiUltra,hard,H-MN,0,,
run_899,,r2,Claude,medium,M-CS,2,,
run_1019,,r2,Claude,hard,H-SF,2,,
run_406,,r1,GeminiUltra,easy,E-PN,1,,
run_677,,r2,GeminiUltra,hard,H-MN,2,,
run_655,,r1,GeminiUltra,hard,H-SF,1,,
run_453,,r0,GeminiUltra,easy,E-UE,0,,
run_625,,r1,GeminiUltra,hard,H-SF,1,,
run_316,,r1,GPT-4o,hard,H-MN,1,,
run_253,,r1,GPT-4o,hard,H-SF,1,,
run_672,,r0,GeminiUltra,hard,H-MN,0,,
run_596,,r2,GeminiUltra,medium,M-GS,2,,
run_922,,r1,Claude,medium,M-GS,1,,
run_349,,r1,GPT-4o,hard,H-MN,1,,
run_1038,,r0,Claude,hard,H-MN,0,,
run_1075,,r1,Claude,hard,H-MN,1,,
run_345,,r0,GPT-4o,hard,H-MN,0,,
run_7,,r1,GPT-4o,easy,E-PN,1,,
run_616,,r1,GeminiUltra,hard,H-SF,1,,
run_541,,r1,GeminiUltra,medium,M-GS,1,,
run_955,,r1,Claude,medium,M-GS,1,,
run_260,,r2,GPT-4o,hard,H-SF,2,,
run_412,,r1,GeminiUltra,easy,E-PN,1,,
run_768,,r0,Claude,easy,E-PN,0,,
run_45,,r0,GPT-4o,easy,E-PN,0,,
run_825,,r0,Claude,easy,E-UE,0,,
run_536,,r2,GeminiUltra,medium,M-CS,2,,
run_44,,r2,GPT-4o,easy,E-PN,2,,
run_732,,r0,Claude,easy,E-PN,0,,
run_336,,r0,GPT-4o,hard,H-MN,0,,
run_819,,r0,Claude,easy,E-UE,0,,
run_607,,r1,GeminiUltra,hard,H-SF,1,,
run_1022,,r2,Claude,hard,H-MN,2,,
